裕中西里 ,799
珠江拉维小镇 ,418
复兴门外大街 ,730
世纪村西区 ,358
望京西园三区 ,660
南湖中园二区 ,460
翠成馨园 ,355
天通苑东一区 ,446
安慧北里雅园 ,380
金台北街 ,600
石佛营西里小区 ,298
北街家园八区 ,300
新华街七里 ,328
地壳所 ,640
龙锦苑六区 ,548
松榆西里 ,377
太平桥小区 ,410
石佛营西里小区 ,280
瑞都公园世家南区 ,525
兆丰园 ,478
安德路55号院 ,495
裕中西里 ,848
紫金新干线 ,415
筑华年 ,980
新龙城 ,486
凯德锦绣 ,740
双榆树东里 ,740
北亚花园 ,365
东大街东里 ,415
荣丰2008 ,381
宝盛里 ,479
玉带河西街 ,260
旗胜家园 ,400
北三环中路40号院 ,540
gogo新世代 ,310
文慧园56号公寓 ,425
荣丰2008 ,435
天通苑东二区 ,478
晨光家园 ,490
上海建筑 ,610
模式口西里 ,240
UHN国际村 ,1355
万科星园 ,510
梧桐人家 ,450
慧华苑 ,379
裕中西里 ,880
首开智慧社 ,516
慧时欣园 ,450
和平街十五区1号院 ,490
佰嘉城 ,393
空港吉祥花园 ,368
中铁花溪渡 ,595
北店嘉园 ,409
北苑家园莲葩园 ,668
天通苑东二区 ,439
炫特嘉园二期 ,366
太平桥小区 ,375
颐慧佳园 ,580
和平家园小区 ,235
西王庄小区 ,555
椿树馆街 ,549
新龙城 ,298
长丰园一区 ,326
安园 ,539.9
群芳三园 ,330
教场口6号院 ,735
慧忠北里第三社区 ,498
天通公园里 ,325
西营房 ,870
安慧里二区 ,389
苏荷时代 ,475
桃园小区 ,218
双桥五号井 ,325
瞰都国际 ,380
建邦枫景 ,458
国家气象局 ,1058
知本时代 ,489
观景园 ,660
翠成馨园 ,270
前沙涧路7号院 ,315
万寿路18号院 ,528
育新花园 ,705
世安家园 ,670
枣营南里 ,380
富丰园小区 ,245
沿海赛洛城二期 ,380
蒲黄榆五巷 ,290
感化胡同14号院 ,670
八角中里 ,299
宏盛家园 ,435
农科院 ,680
北影小区 ,698
公园五号 ,890
安外花园 ,635
靓景明居 ,605
国展新座 ,650
苗圃东里 ,349
荣丰2008 ,365
华严北里中科院 ,505
天通苑中苑 ,427
美然绿色家园 ,335
蒲黄榆四里 ,340
龙锦苑东一区 ,485
红莲北里 ,535
潘家园小区 ,260
艺苑西街9号院 ,260
劲松六区 ,364
东领鉴筑 ,265
西引力 ,657
志新村 ,780
慧忠里 ,418
天通苑东一区 ,395
裕民路1号院 ,448
北新家园 ,361
建材城东一里 ,365
瑞都国际南区 ,718
炫特嘉园一期 ,359
芍药居甲2号院 ,999
白家庄东里 ,430
太月园 ,570
首城国际B区 ,839
青年汇佳园 ,840
西便门外大街 ,639
金蝉南里 ,475
塔院小区 ,750
南十里居 ,330
炫特嘉园二期 ,367
东南小区 ,932
春园 ,279
龙乡东区 ,328
西环里 ,216
西马金润二区 ,437
慈云寺 ,420
远洋山水 ,655
延静西里 ,355
龙锦苑东一区 ,480
车道沟南里 ,680
望京西园三区 ,696
曙光里 ,289
太极小区 ,760
厂洼小区 ,566
左家庄东里 ,338
银地家园 ,439
蓟门东里 ,468
珠江帝景新博悦 ,870
滨河西里 ,209
荣丰2008 ,435
重兴园 ,499
龙泽苑西区 ,299
新外大街28号院 ,775
